timestamp,key,input_type
2021-05-24 21:23:59.655588,EXPERIMENT_START,KEYBOARD
2021-05-24 21:23:59.661014,3,KEYBOARD
2021-05-24 21:24:00.162541,*,KEYBOARD
2021-05-24 21:24:00.615743,3,KEYBOARD
2021-05-24 21:24:01.781046,+,KEYBOARD
2021-05-24 21:24:02.364985,4,KEYBOARD
2021-05-24 21:24:03.259480,*,KEYBOARD
2021-05-24 21:24:03.802009,4,KEYBOARD
2021-05-24 21:24:04.774070,Evaluate,KEYBOARD
2021-05-24 21:24:06.143748,*,KEYBOARD
2021-05-24 21:24:06.579105,1,KEYBOARD
2021-05-24 21:24:07.013549,5,KEYBOARD
2021-05-24 21:24:07.490722,.,KEYBOARD
2021-05-24 21:24:07.797575,2,KEYBOARD
2021-05-24 21:24:08.659415,Evaluate,KEYBOARD
2021-05-24 21:24:08.659409,EXPERIMENT_END,BUTTON
2021-05-24 21:24:12.691205,EXPERIMENT_START,KEYBOARD
2021-05-24 21:24:12.695254,3,KEYBOARD
2021-05-24 21:24:13.188120,*,KEYBOARD
2021-05-24 21:24:13.730775,3,KEYBOARD
2021-05-24 21:24:14.852867,+,KEYBOARD
2021-05-24 21:24:15.591183,4,KEYBOARD
2021-05-24 21:24:16.065166,*,KEYBOARD
2021-05-24 21:24:16.459510,4,KEYBOARD
2021-05-24 21:24:17.281794,Evaluate,KEYBOARD
2021-05-24 21:24:18.506489,*,KEYBOARD
2021-05-24 21:24:18.953035,1,KEYBOARD
2021-05-24 21:24:19.200323,5,KEYBOARD
2021-05-24 21:24:19.697270,.,KEYBOARD
2021-05-24 21:24:20.217709,2,KEYBOARD
2021-05-24 21:24:20.955126,Evaluate,KEYBOARD
2021-05-24 21:24:20.955120,EXPERIMENT_END,BUTTON
2021-05-24 21:24:24.580101,EXPERIMENT_START,KEYBOARD
2021-05-24 21:24:24.583928,3,KEYBOARD
2021-05-24 21:24:25.011767,*,KEYBOARD
2021-05-24 21:24:25.491415,3,KEYBOARD
2021-05-24 21:24:26.721271,4,KEYBOARD
2021-05-24 21:24:27.211808,*,KEYBOARD
2021-05-24 21:24:27.767056,Backspace,KEYBOARD
2021-05-24 21:24:28.001931,Backspace,KEYBOARD
2021-05-24 21:24:29.195998,+,KEYBOARD
2021-05-24 21:24:30.383242,4,KEYBOARD
2021-05-24 21:24:30.744679,*,KEYBOARD
2021-05-24 21:24:31.231304,4,KEYBOARD
2021-05-24 21:24:31.973452,Evaluate,KEYBOARD
2021-05-24 21:24:33.458590,*,KEYBOARD
2021-05-24 21:24:34.048151,1,KEYBOARD
2021-05-24 21:24:34.312323,5,KEYBOARD
2021-05-24 21:24:34.796863,.,KEYBOARD
2021-05-24 21:24:35.166576,2,KEYBOARD
2021-05-24 21:24:35.874042,Evaluate,KEYBOARD
2021-05-24 21:24:35.874034,EXPERIMENT_END,BUTTON
2021-05-24 21:24:39.373842,EXPERIMENT_START,KEYBOARD
2021-05-24 21:24:39.377748,3,KEYBOARD
2021-05-24 21:24:39.862510,*,KEYBOARD
2021-05-24 21:24:40.300171,3,KEYBOARD
2021-05-24 21:24:41.700787,+,KEYBOARD
2021-05-24 21:24:42.437414,4,KEYBOARD
2021-05-24 21:24:42.835565,*,KEYBOARD
2021-05-24 21:24:43.258432,4,KEYBOARD
2021-05-24 21:24:44.115958,Evaluate,KEYBOARD
2021-05-24 21:24:45.733263,*,KEYBOARD
2021-05-24 21:24:46.357102,1,KEYBOARD
2021-05-24 21:24:46.644826,5,KEYBOARD
2021-05-24 21:24:47.343806,.,KEYBOARD
2021-05-24 21:24:47.762545,2,KEYBOARD
2021-05-24 21:24:48.531199,Evaluate,KEYBOARD
2021-05-24 21:24:48.531193,EXPERIMENT_END,BUTTON
2021-05-24 21:24:52.812748,EXPERIMENT_START,KEYBOARD
2021-05-24 21:24:52.816803,3,KEYBOARD
2021-05-24 21:24:53.305541,*,KEYBOARD
2021-05-24 21:24:53.720246,3,KEYBOARD
2021-05-24 21:24:54.938549,+,KEYBOARD
2021-05-24 21:24:55.525274,4,KEYBOARD
2021-05-24 21:24:55.974830,*,KEYBOARD
2021-05-24 21:24:56.476939,4,KEYBOARD
2021-05-24 21:24:57.440740,Evaluate,KEYBOARD
2021-05-24 21:24:58.304330,*,KEYBOARD
2021-05-24 21:24:59.596769,1,KEYBOARD
2021-05-24 21:24:59.875567,5,KEYBOARD
2021-05-24 21:25:00.309624,.,KEYBOARD
2021-05-24 21:25:00.838796,2,KEYBOARD
2021-05-24 21:25:01.402384,Evaluate,KEYBOARD
2021-05-24 21:25:01.402379,EXPERIMENT_END,BUTTON
